text,categories,expected_category
"Waste & Recycling Collection Services The London Borough of Merton is inviting tenders, from those suppliers shortlisted in the initial Supplier Selection stage, to provide Household Waste & Recycling Materials collection including communication of the services, Commercial Waste collection including communication of the services, Winter Maintenance services and Vehicle Maintenance services for the Borough. Please note, that a signed confidentiality letter will need to be signed in order for the full suite of tender documents to be shared.",refuse_disposal_and_treatment,refuse_disposal_and_treatment
"Connally Unit: Replace Plumbing & Controls - 3, 4, 7, 10, & 11 Bldgs This project is to replace plumbing and add electronic water controls to multiple buildings. The existing system is not in compliance with the current energy efficiency codes and standards.",,plumbing_and_sanitary_works
"Action Plan for Food Production Units in Carmarthenshire Development of an action plan for food production units in Carmarthenshire The aim of the contract is to seek a qualified professional to undertake a Development Action Plan for the creation of Innovative Food Production Units for the County. The successful contractor will be required to scope the demand for food units and provide justification for the specific requirements. Looking at current and on-trend growth businesses, locally and regionally, that are seeking to expand from Micro-SME, with multi-sector commercial markets. The Plan will enable the Authority to move forward with physical design and build plans.",development_consultancy_services,development_consultancy_services
"NRTS3 National Roadside Telecommunications Service This opportunity relates to the provision, operation and maintenance of telecommunications services between the roadside and various central locations for National Highways , the body responsible for England's strategic road network.  The National Roads Telecommunications Services (NRTS) project currently provides services to over 30,000 end devices on 3 500 + km of the strategic road network. These telecommunications services provide connectivity between control rooms and roadside devices such as variable message signs, emergency telephones and CCTV cameras.",telecommunications_cable_and_equipment,telecommunications_cable_and_equipment
"ITT For the Provision of Agency Staff Services. We are now going out to tender for a range of employment agency organisations, to form a Preferred Suppliers List (PSL) within RBH. This ‘Preferred Suppliers List’ will be made up of a number of varied specialised agencies, that can be utilised by RBH at any time, based on pre-determined contracts,  during the life of the agreement.The tender will be made up of two ‘Lots’, and interested parties can bid for a place in either, or both of the ‘Lots’, dependant upon the suitability of your organisation.Lot 1 – Agency Staff.  The supply of short term agency staff, to support teams across RBH when temporary additional resource is required.Lot 2 – Single Role Recruitment.  To be able to provide candidates for RBH to consider for permanent RBH employee roles.Please Note: RBH cannot commit to any particular level of spend during the course of this contract. Usage will depend entirely on demand, i.e. the fluctuating requirements of teams across RBH as and when they arise.",supply_services_of_personnel_including_tempor,supply_services_of_personnel_including_tempor
"UK-Newcastle-upon-Tyne: Educational software package. UK-Newcastle-upon-Tyne: Educational software package.Section I: Contracting Authority		I.1) Name and addresses				 NCG				 Rye Hill House, Scotswood Road, Newcastle-upon-Tyne, NE4 7SA, United Kingdom				 Tel. +44 1912004000, Email: procurement@ncgrp.co.uk				 Contact: NCG Procurement				 Main Address: www.ncgrp.co.uk				 NUTS Code: UK		I.2) Joint procurement		The contract involves joint procurement:  No.		In the case of joint procurement involving different countries, state applicable national procurement law:  Not provided 				The contract is awarded by a central purchasing body:  No.		I.3) Communication		The procurement documents are available for unrestricted and full direct access, free of charge, at:    https://neupc.delta-esourcing.com/delta/mainMenu.html 		Additional information can be obtained from:  the abovementioned address 		Tenders or requests to participate must be sent  electronically via https://neupc.delta-esourcing.com/delta/mainMenu.html  to the abovementioned address 				Electronic communication requires the use of tools and devices that are not generally available. Unrestricted and full direct access to these tools and devices is possible, free of charge, at:  Not provided 		I.4) Type of the contracting authority				Body governed by public law 		I.5) Main activity				EducationSection II: ObjectII.1) Scope of the procurement		II.1.1) Title:  Teaching & Learning Platform for West Lancashire College 				Reference Number:   NCG240102T 		II.1.2) Main CPV Code: 		48190000 - Educational software package. 		II.1.3) Type of contract:  SUPPLIES 		II.1.4) Short description:  NCG is seeking to procure organisations with a pre-established online and distance learning platform for use by West Lancashire College for the entire duration of the contract term to enable the delivery of an online and distance learning offer to learners in non-devolved Authority Areas throughout England. 				II.1.5) Estimated total value:		Value excluding VAT:  1,200,000 				Currency:  GBP 		II.1.6) Information about lots:		This contract is divided into lots: No 		 II.2) Description 		II.2.2) Additional CPV codes: 		Not Provided 				II.2.3) Place of performance: 		UK UNITED KINGDOM  		II.2.4) Description of procurement:  NCG is seeking to procure organisations with a pre-established online and distance learning platform for use by West Lancashire College for the entire duration of the contract term to enable the delivery of an online and distance learning offer to learners in non-devolved Authority Areas throughout England. 		II.2.5) Award criteria:				Criteria below				Quality criterion - Name: Platform / Weighting: 10 				Quality criterion - Name: Awarding Organisations / Weighting: 5 				Quality criterion - Name: Reporting / Weighting: 5 				Quality criterion - Name: Support / Weighting: 5 				Quality criterion - Name: Charging / Weighting: 5 				Quality criterion - Name: Quality Assurance / Weighting: 5 				Quality criterion - Name: Data Protection / Weighting: 5  				Price  -  Weighting: 60   		II.2.6) Estimated value: 		Value excluding VAT:  1,200,000  				Currency:  GBP  				II.2.7) Duration of the contract, framework agreement or dynamic purchasing system:		Duration in months: 48 				This contract is subject to renewal:   Yes  				Description of renewals:  36 month initial period with the option of a 12 month extension.  		II.2.10) Information about variants: 		Variants will be accepted: No 		II.2.11) Information about options:		Options:		 No 						Description of options:  Not provided 		II.2.12) Information about electronic catalogues: 		Tenders must be presented in the form of electronic catalogues or include an electronic catalogue:  No 		II.2.13) Information about European Union funds: 		The procurement is related to a project and/or programme financed by European Union funds:   No 				Identification of the project: Not provided 						II.2.14) Additional information:  Not provided 		Section III: Legal, Economic, Financial And Technical Information	III.1) Conditions for participation		III.1.1) Suitability to pursue the professional activity, including requirements relating to enrolment on professional or trade registers		List and brief description of conditions: 					Not Provided 				III.1.2) Economic and financial standing 				List and brief description of selection criteria: 				Not Provided 			Minimum level(s) of standards possibly required (if applicable) : 				Not Provided 			III.1.3) Technical and professional ability 		List and brief description of selection criteria: 				Not Provided				Minimum level(s) of standards possibly required (if applicable) : 					Not Provided			III.1.5) Information about reserved contracts (if applicable)			The contract is reserved to sheltered workshops and economic operators aiming at the social and professional integration of disabled or disadvantaged persons:  No 				The execution of the contract is restricted to the framework of sheltered employment programmes:          No 	 	III.2) Conditions related to the contract 		III.2.2) Contract performance conditions 					Not Provided 					III.2.3) Information about staff responsible for the performance of the contract		Obligation to indicate the names and professional qualifications of the staff assigned to performing the contract:  No Section IV: Procedure	IV.1) Description OPEN		IV.1.1) Type of procedure: Open	 	IV.1.3) Information about a framework agreement or a dynamic purchasing system  	                			The procurement involves the establishment of a framework agreement - NO 	   			In the case of framework agreements justification for any duration exceeding 4 years:   Not Provided 	  	IV.1.6) Information about electronic auction:		An electronic auction will be used: No 		Additional information about electronic auction:  Not provided 	IV.1.8) Information about the Government Procurement Agreement (GPA)		The procurement is covered by the Government Procurement Agreement:  No 			IV.2) Administrative information		IV.2.1) Previous publication concerning this procedure:			Notice number in the OJ S:  Not provided 				IV.2.2) Time limit for receipt of tenders or requests to participate		 Date: 11/03/2024    Time: 17:00 		IV.2.4) Languages in which tenders or requests to participate may be submitted: English, 				IV.2.6) Minimum time frame during which the tenderer must maintain the tender:  Not Provided				IV.2.7) Conditions for opening of tenders: 			Date: 11/03/2024			Time: 17:00 Section VI: Complementary Information	VI.1) Information about recurrence	This is a recurrent procurement: No  		Estimated timing for further notices to be published:  Not provided 	VI.2) Information about electronic workflows	Electronic ordering will be used  No 			Electronic invoicing will be accepted  No 			Electronic payment will be used  No 			VI.3) Additional Information:  The contracting authority considers that this contract may be suitable for economic operators that are small or medium enterprises (SMEs). However, any selection of tenderers will be based solely on the criteria set out for the procurement.For more information about this opportunity, please visit the Delta eSourcing portal at: https://neupc.delta-esourcing.com/tenders/UK-UK-Newcastle-upon-Tyne:-Educational-software-package./X6XKHA2687To respond to this opportunity, please click here: https://neupc.delta-esourcing.com/respond/X6XKHA2687 	VI.4) Procedures for review	VI.4.1) Review body:				 NCG		 Rye Hill House, Scotswood Road, Newcastle-upon-Tyne, NE4 7SA, United Kingdom		 Tel. +44 1912004000, Email: procurement@ncgrp.co.uk		 Internet address: www.ncgrp.co.uk	VI.4.2) Body responsible for mediation procedures: 				 NCG			 Rye Hill House, Scotswood Road, Newcastle-upon-Tyne, NE4 7SA, United Kingdom			 Tel. +44 1912004000, Email: procurement@ncgrp.co.uk			 Internet address: www.ncgrp.co.uk 	VI.4.3) Review procedure	Precise information on deadline(s) for review procedures: 		 Not Provided 		VI.4.4) Service from which information about the lodging of appeals may be obtained: 			 NCG		 Rye Hill House, Scotswood Road, Newcastle-upon-Tyne, NE4 7SA, United Kingdom		 Tel. +44 1912004000, Email: procurement@ncgrp.co.uk		 Internet address: www.ncgrp.co.uk 	VI.5) Date Of Dispatch Of This Notice: 08/02/2024Annex A",educational_software_package,educational_software_package
"SPS-01610 Support and Maintenance for SPS's EPOS System This contract is for the on-going support and maintenance of SPS's Electronic Point of Sale (EPOS) system currently in use within SPS estate. CPV: 48110000, 72267000.",softwarerelated_services,softwarerelated_services
23076 the provision for a Cash Collections Services Framework agreement Cambridgeshire County Council is proposing to create a Framework with one Lot 1 only for a period of 48 months in total.It will look to award up to One (1) bidder to the Framework and Lot for fulfilment of the services.The Framework will be open to All contracting bodies within Cambridgeshire County's boundaries and will include the two Northamptonshire Councils only.The Framework agreement will be operational from April 2024.,,security_services
"Supply and Delivery of Reclaimed Mill Flags The Council requires the provision of 2000m x 1m (approximately) of reclaimed millstone flags for the surfacing of a section of the Coast to Coast Path on Nine Standards Rigg near Kirkby Stephen. Flags to be rough hewn, free of metal work and bitumen. The millstone flags must be sorted, banded as necessary and transported to Hartley Quarry, Kirkby Stephen, Cumbria.",construction_materials,construction_materials
"Travel Well adult cycle training  sessions on-referral up to June 2025 Suppliers are invited to submit a costed proposal up to £20,000 to provide one to one and small group adult cycle training provision up to 30 June 2025 for participants referred through the Nottingham City’s Travel Well active travel social prescribing programme. Contract payments will be made on a call off basis applying the rates agreed against training delivered up to the maximum contact value.",health_and_firstaid_training_services,health_and_firstaid_training_services
"23NE SGL 13 Mark It Zero Cutting The Pennsylvania Game Commission, Forestry Division, requires the services of an Operator to cut interfering woody vegetation on a location containing 60 acres within one block. Services shall include, but are not limited to, the furnishing of all materials, labor, equipment, tools, superintendence, miscellaneous items, and performing all work necessary to complete the project to the satisfaction of and subject to the approval of the Commission",logging_services,logging_services
Instant Oatmeal THE TEXAS DEPARTMENT OF CRIMINAL JUSTICE (TDCJ) IS CURRENTLY          REQUESTING BIDS TO ESTABLISH A PURCHASE ORDER FOR THE PROCUREMENT OF  INSTANT OATMEAL FOR RESALE IN THE TDCJ COMMISSARIES STATEWIDE.,grain_mill_products,grain_mill_products
"Solar Photovoltaic (PV) systems and Battery Energy Storage Systems (BESS) This Invitation to Tender (ITT) is issued by WSCC to seek and identify suitably qualified and interested organisations from the private, public and third (voluntary, community and charitable) sector to carry out surveys and to prepare a design and costing of the installation and maintenance of Solar PV and BESS, to install the equipment and to maintain the equipment at Designated Sites identified in Document No. 9 (Asset List). There is also the opportunity to add Pipeline Sites and Wider Estate to the Programme as detailed under 5- Scope of the ITT.<br/><br/> <br/>The Solar PV and Battery Storage Programme (“SPVBS Programme”) is set up in three phases: Phase 1 NEC4 Term Services Contract (“NEC4 TSC for Phase 1”) for the survey, design and costing works, Phase 2 NEC4 Engineering and Construction Contract (“NEC4 ECC for Phase 2”) for the installation works and Phase 3 NEC4 Term Services Contract (“NEC4 TSC for Phase 3”) for the ongoing maintenance services.  <br/><br/> <br/>Following approval of the design and costing carried out in Phase 1 in relation to each Designated Site and/or Pipeline Site and/or Wider Estate, WSCC may then proceed to appoint the Contractor to carry out the installation of the equipment at that Site under Phase 2 and maintenance of the Equipment at that Site under Phase 3, in accordance with the relevant Contract Terms and Conditions as set out in Document 03 (Contract Terms and Conditions).  <br/><br/> <br/>WSCC is under no obligation to award a contract under Phase 2 and/or Phase 3 in respect of any Designated Site and/or Pipeline Site and/or Wider Estate that is subsequently incorporated into the Programme.  <br/><br/> <br/>The Works, as further described in Document No. 2 (The Specification) are being tendered by WSCC in accordance with WSCC’s Standing Orders on Procurement and Contracts and the Public Contracts Regulations 2015 (PCR 2015). <br/><br/>This is the only programme in place for delivering retrofit roof-top solar PV and ‘Behind the Meter’ Battery Energy Storage Systems (BESS) across WSCC’s estate. The contract value (of up to £23m) therefore allows all remaining corporate sites and schools in the Wider Estate, in West Sussex, to be approached to register their interest in being surveyed and if found suitable to be brought into the SPVBS Programme over the Contract Period.  <br/><br/>  <br/>Following a market engagement exercise and technical and structural feasibility surveys completed by WSCC’s multi-disciplinary contractor (MDC), AtkinsRealis (AR), 23 corporate and 56 school sites including Pipeline Sites (see Document No. 09 Asset List) have been identified to date as suitable for having Solar PV and, where suitable, BESS technology installations.  <br/><br/>  <br/>All 56 schools registered their interest in having Solar PV, and where suitable, BESS installed. Of the 56 schools, 38 have formally committed to participating in the Programme (subject to the outcome of the Phase 1 detailed surveys) via a formal Letter of Intent (“LOI”). These are referred to as the “Designated Sites”.  <br/><br/> <br/>WSCC is currently working with the Department for Education (DfE) to gain formal commitment from the 14 academy schools (which form part of the 56 schools) to sign up to the Programme. The academy schools and the 4 other non-WSCC owned schools, require a lease agreement to be signed (“the Lease”) and the terms of the Lease agreements shall be agreed with the DfE and academy trusts. Once the approved draft Lease agreement has been shared with the academies, and other non-WSCC owned sites, these schools will also be asked to commit to participating in the Programme via an LOI. The schools and corporate sites not yet committed to the Programme are the “Pipeline Sites”.  A further 44 potentially suitable sites have already been identified by WSCC or have expr",solar_energy,solar_energy
Clinical Dental Technician service to His Majesty’s Prison (HMP) environments on behalf of KCHFT This opportunity is for the provision of an efficient and effective Clinical Dental Technician service to His Majesty’s Prison (HMP) environments on behalf of Kent Community Health NHS Foundation Trust (KCHFT) Dental Services (purchaser). The provider will be required to visit HMP patients within four (4) HMP facilities located in Kent upon referral from the purchaser. The provider will be required to attend HMP patients referred to by KCHFT from Monday to Friday on  mutually agreed dates and times during normal working hours mornings 0830-1200 hours.,dental_practice_and_related_services,dental_practice_and_related_services
"WHC - Lines and Signs Framework Welwyn Hatfield Borough Council (hereinafter referred to as the Council) is seeking to establish a framework contract for the supply and installation of parking signage as well as the relevant line painting.Two contractors will be appointed (the main contractor and a reserve). The Council may place orders directly without any competition on the main contractor. The reserve contractor would be used if the main contractor is unable to meet the councils’ requirements. The Council may also decide to undertake a mini competition between the two contractors.As part of the tender process, bidders will need to price the 3 schemes. The main contractor will need to undertake this work at the prices quoted no later than 14th June  2024.",,road_equipment
"HCC - 02/24 - Pre-Procurement Market Engagement (PPME) for Interim arrangements for the inspection, maintenance, and repair of mechanical, electrical and other technology equipment at the A505 Weston Hills Tunnel Hertfordshire County Council (the “Council”) is carrying out Pre-Procurement Market Engagement (“PPME”) for Interim arrangements for the inspection, maintenance, and repair of mechanical, electrical and other technology equipment at the A505 Weston Hills TunnelThe Council is seeking input from the market as to what might be the most attractive way of packaging and scoping any future opportunity for contracts.  This input will help inform any resultant procurement process. Please refer to the PPME document for more detailed information.The Council will consider the feedback received to help inform the Council’s options and further decision making. For the avoidance of doubt, this stage of the project is not part of a formal procurement process, and the Council is not committing, at this stage, to carrying out such a process. Participation or non-participation in the PPME shall not prevent any supplier participating in a potential future procurement, nor is it intended that any information supplied as part of the PPME shall place any supplier at an advantage in a potential procurement process. Participation in the PPME will be at each organisation’s own cost. No expense in responding to this PPME will be reimbursed by the Council.Further information can be found within the attached documentation. You are invited to submit a completed questionnaire by 12 noon on 11th March 2024. Please log in or register at https://in-tendhost.co.uk/supplyhertfordshire/aspx/Home",repair_and_maintenance_services_of_electrical,repair_and_maintenance_services_of_electrical
Geography & Sustainable Development:  Design & Manufacture of SafePoint Desk Design and Manufacture of Safepoint Desks.  A SafePoint is an approved room containing a SafePoint Desk which allows a researcher to access and analyse data. It is a low cost and scalable solution for data access and will become a new service offered by the SafePod Network. For  more information about the SafePod Network visit www.safepodnetwork.ac.uk.,goods_used_in_construction,goods_used_in_construction
"Management of Cleaning Services (Framework Agreement) Willow Tree Community Primary School  & New Park Primary Academy The Northern Star Academies Trust have decided to tender their cleaning services to investigate the financial and qualitative benefits they could be offered through this process. The schools involved are: - • Willow Tree Community Primary School, Harrogate • New Park Primary Academy, Harrogate Aims of the Service and Tender The key aims of the tender are to:  Provide a high standard of cleaning.  Deliver the cleaning services with consistency - good quality assurance systems in place.  Good communication at local and operations manager level with the Trust - two-way communication  Daily interaction with the school's representative at each site  Develop an effective method of handing over any special needs and comments on a daily basis.  Cleaners to work the hours that best suit the needs of the schools and maximise the work completed.  Training and development of the teams at the schools This does not imply that this is not happening now - these are the aims of the contract. The Trust work to provide the students with the very best experiences they can. The quality of the environment in which they all work together is very important to us. The cleanliness and good order of the classrooms, corridors and other areas of the Trust impacts upon the teaching and learning that goes within the Trust. The Trust expectations are high, and they are looking for a cleaning contractor who has the same aims and aspirations as they do. They do seek value for money but that does not mean they will choose the cheapest quote possible. They are seeking a partner who will be willing to undertake extra work and be flexible in approach when dealing with certain key events in our year.",cleaning_services,cleaning_services
"RFQ # 19KU2024Q0005-Embassy Compound Landscaping Services ar Prospective Quoter: Subject: Request for Quotations number 19KU2024Q0005 Enclosed is a Request for Quotations (RFQ) to Provide periodical maintenance services to approximately 278 Date Palm Trees services at the Embassy Compound. If you would like to submit quotation, follow the instructions in Section 3 of the solicitation, complete the required portions of the attached document, and submit it to the address shown on the Standard Form 1449 that follows this letter. The U.S. Government intends to award a contract/purchase order to the responsible company submitting an acceptable offer at the lowest price. We intend to award a contract/purchase order based on initial quotations, without holding discussions, although we may hold discussions with companies in the competitive range if there is a need to do so.",,planting_and_maintenance_services_of_green_ar
"NUT View Changes CONTACT INFORMATION|4|N791.13|LZZ|2156973528|destiny.n.wiatr.civ@us.navy.mil| ITEM UNIQUE IDENTIFICATION AND VALUATION (JAN 2023)|19|||||||||||||||||||| HIGHER-LEVEL CONTRACT QUALITY REQUIREMENT|8||||||||| WIDE AREA WORKFLOW PAYMENT INSTRUCTIONS (JAN 2023)|16|Invoice and receving report||TBD|N00383|TBD|TBD|SEE SCHEDULE|TBD||||||||| NAVY USE OF ABILITYONE SUPPORT CONTRACTOR - RELEASE OF OFFEROR INFORMATION (3-18))|1|| EQUAL OPPORTUNITY (SEP 2016)|2||| EQUAL OPPORTUITY FOR WORKERS WITH DISABILITIES (JUN 2020)|2||| BUY AMERICAN-FREE TRADE AGREEMENTS-BALANCE OF PAYMENTS PROGRAM - BASIC (JAN 23)|3|||| ALTERNATE A, ANNUAL REPRESENTATIONS AND CERTIFICATIONS (NOV 2020)|13|||||||||||||| BUY AMERICAN-FREE TRADE AGREEMENTS-BALANCE OF PAYMENTS PROGRAM CERTIFICATE-BASIC (DEC 2022))|3|||| BUY AMERICAN--BALANCE OF PAYMENTS PROGRAM (NOV 2014)|1|| ROYALTY INFORMATION (APR 1984)|1|| ANNUAL REPRESENTATIONS AND CERTIFICATIONS (MAR 2023)|13|336413|1250|||||||||||| FACSIMILE PROPOSALS (OCT 1997)|1|| NOTICE OF PRIORITY RATING FOR NATIONAL DEFENSE, EMERGENCY PREPAREDNESS, ANDENERGY PROGRAM USE (APR 2008))|2||x| The purpose of this amendment is to update the quantity and extend the closingdate to 20 FEB 2024. The purpose of this amendment is to update the quantity. ALL CONTRACTUAL DOCUMENTS (I.E. CONTRACTS, PURCHASE ORDERS, TASK ORDERSDELIVERY ORDERS AND MODIFICATIONS) RELATED TO THE INSTANT PROCUREMENT ARECONSIDERED TO BE ""ISSUED"" BY THE GOVERNMENT WHEN THE COPIES ARE EITHERDEPOSITED IN THE MAIL, TRANSMITTED BY FACSIMILE, OR SENT BY OTHER ELECTRONICCOMMERCE METHODS, SUSH AS EMAIL. THE GOVERNMENT'S ACCEPTANCE OF THECONTRACTOR'S PROPOSAL CONSTITUTES BILATERAL AGREEMENT TO ""ISSUE"" CONTRACTUALDOCUMENTS AS DETAILED HEREIN. EARLY AND INCREMENTAL DELIVERIES ACCEPTED AND PREFERRED.",support_services_for_water_transport,support_services_for_water_transport
