ocid,release_date,start_date,end_date,country_name,buyer_name,title,description,first_code,first_text,first_score,second_code,second_text,second_score,third_code,third_text,third_score,fourth_code,fourth_text,fourth_score,fifth_code,fifth_text,fifth_score,tender_url
ocds-0c46vo-0020-angliaruskinuniversity_563,2023-08-24 22:22:06+00,,2023-09-26 00:00:00+00,UNITED KINGDOM,ANGLIA RUSKIN UNIVERSITY,T23/04_Distance Learning Strategic Digital Marketing,Please find attached documents relating to the tender for Distance Learning Strategic Digital Marketing (issued under the restricted procedure)Please note the closing date for your SQ return is 12 noon on 26 September 2023. Please do not complete the Invitation to tender (ITT) documentation at this stage. You will be informed in due course whether you have progressed to the ITT stage.Tenderers must check that all the documents listed in the contents have been received and are complete in all respects:T23.04_SQ_Distance learning Strategic Digital MarketingBidders are reminded that large electronic files may take time to upload to In-Tend. Bidders must allow sufficient time to fully transmit all files they wish to submit prior to the published closing time. Please see paragraph 1.15 of the Selection Questionnaire document for further information.End date for Contract Finder is for information only.,79340000,Advertising and marketing services,53.5159,79410000,Business and management consultancy services,12.0776,72410000,Provider services,4.3083,72210000,Programming services of packaged software products,3.4116,22460000,"Trade-advertising material, commercial catalogues and manuals",2.6466,https://in-tendhost.co.uk/angliaruskinuniversity/aspx/ProjectManage/563
ocds-0c46vo-0020-sesharedservices_36388,2023-12-07 22:21:57+00,,2023-12-18 00:00:00+00,UNITED KINGDOM,ARUN DISTRICT COUNCIL,Civic Centre & Bognor Regis Town Hall  Provision of Concierge & Security Services,"The Council`s full requirements and details of how to tender for this opportunity are available by clicking the Express Interest button. The deadline for tender submission is 14:00 on Monday 18 December 2023 2021How to obtain the Tender Documents Interested parties should register their interest in the project via the In-Tend website https://in-tendhost.co.uk/sesharedservices/aspx/Tenders/Current. The Tender documents can be accessed when logged into In-Tend by selecting ‘View Details’ on the relevant tender advert and clicking the ‘Express Interest’ tab. Once in the tender there are five tabs, namely ‘Tender’, ‘ITT – documents’, ‘Correspondence’, ‘Clarifications’ and ‘History’. Select the 2nd tab (ITT - documents) where you will find useful information under ‘Tender Details’. Continue to scroll down to the heading ‘Tender Documents Received’ where you will be able to view / download the documents. Please download all the documents and read very carefully. Opting In and Opting Out Please note you are required to ‘Opt In’ before you can access the ‘My tender Return’ to start populating your response. The ‘Opt Out’ functionality will also be available throughout the duration of the tender process. Opting out will give you the option of declaring you no longer want to receive any further communication in relation to this tender along with the opportunity of providing comments and feedback for this decision. You can choose to ‘Opt In’ at any time during the tender process if you initially decided to ‘Opt Out’. Further Guidance In addition, guidance on how to participate in a tender, download and upload documents / returns and if required, register your company (free of charge) can be found on the In-tend site under the ‘Help’ or ‘Information for Suppliers’ buttons. Receiving Notification Emails To ensure you receive email alerts and notifications from our system, please add the email domain `@in-tendorganiser.co.uk`  to your Safe Senders list.",79710000,Security services,42.7759,79990000,Miscellaneous business-related services,17.7884,98340000,Accommodation and office services,8.175,75240000,"Public security, law and order services",7.1134,90910000,Cleaning services,6.3952,https://in-tendhost.co.uk/sesharedservices/aspx/ProjectManage/36388
ocds-0c46vo-0020-sesharedservices_37199,2024-01-12 22:34:57+00,,2024-02-09 00:00:00+00,UNITED KINGDOM,ARUN DISTRICT COUNCIL,"Refurbishment of Public Conveniences at West Beach, Littlehampton; London Road, Bognor Regis; Sandy Road, Pagham and West Meads Pavilion, Bognor Regis for Arun District Council","Arun District Council invites applications from suitably experienced organisations who wish to be considered for selection to tender for the Refurbishment of Public Conveniences at West Beach, Littlehampton; London Road, Bognor Regis; Sandy Road, Pagham and West Meads Pavilion, Bognor Regis for Arun District Council.The Contract will commence on 25th March 2024 and the contract term is 16 weeks. Interested parties should register their interest in the project via the In-Tend website https://in-tendhost.co.uk/sesharedservices/aspx/tenders/current, and complete and submit the tender return document together with any supporting information requested by 14.00 hrs on Friday 9th February 2024.  How to obtain the Tender DocumentsThe Tender documents can be accessed when logged into In-Tend by selecting ‘View Details’ on the relevant tender advert and clicking the ‘Express Interest’ tab. Once in the tender there are five tabs – ‘Tender’, ‘ITT – documents’, ‘Correspondence’, ‘Clarifications’ and ‘History’. Select the 2nd tab (ITT - documents) where you will find useful information under ‘Tender Details’ continue to scroll down to the heading ‘Tender Documents Received’ where you will be able to view / download the documents.Please download all the documents and read very carefully.Opting In and Opting OutPlease note you are required to ‘Opt In’ before you can access the ‘My tender Return’ to start populating your response. The ‘Opt Out’ functionality will also be available throughout the duration of the tender process. Opting out will give you the option of declaring you no longer want to receive any further communication in relation to this tender along with the opportunity of providing comments and feedback for this decision.You can choose to ‘Opt In’ at any time during the tender process if you initially decided to ‘Opt Out’.Further GuidanceIn addition, guidance on how to participate in a tender – download and upload documents / returns and if required, register your company (free of charge), can be found on the In-tend site under the ‘Help’ or ‘Information for Suppliers’ buttons.Receiving Notification EmailsTo ensure you receive email alerts and notifications from our system, please add the email domain '@in-tendorganiser.co.uk'  to your Safe Senders list.",45210000,Building construction work,19.9603,45450000,Other building completion work,11.4816,45260000,Roof works and other special trade construction works,8.4673,45230000,"Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork",7.7193,45330000,Plumbing and sanitary works,5.3012,https://in-tendhost.co.uk/sesharedservices/aspx/ProjectManage/37199
ocds-0c46vo-0020-sesharedservices_36692,2023-08-23 22:10:05+00,,2023-09-22 00:00:00+00,UNITED KINGDOM,ARUN DISTRICT COUNCIL,Pevensey Road Roof Replacement,"Arun District Council is seeking tender submissions for the Roof Replacement Works project The Council`s full requirements and details of how to tender for this opportunity are available by clicking the Express Interest button. The deadline for tender submission is 2pm on Friday 22nd September 2023How to obtain the Tender Documents Interested parties should register their interest in the project via the In-Tend website https://in-tendhost.co.uk/sesharedservices/aspx/Tenders/Current. The Tender documents can be accessed when logged into In-Tend by selecting ‘View Details’ on the relevant tender advert and clicking the ‘Express Interest’ tab. Once in the tender there are five tabs, namely ‘Tender’, ‘ITT – documents’, ‘Correspondence’, ‘Clarifications’ and ‘History’. Select the 2nd tab (ITT - documents) where you will find useful information under ‘Tender Details’. Continue to scroll down to the heading ‘Tender Documents Received’ where you will be able to view / download the documents. Please download all the documents and read very carefully. Opting In and Opting Out Please note you are required to ‘Opt In’ before you can access the ‘My tender Return’ to start populating your response. The ‘Opt Out’ functionality will also be available throughout the duration of the tender process. Opting out will give you the option of declaring you no longer want to receive any further communication in relation to this tender along with the opportunity of providing comments and feedback for this decision. You can choose to ‘Opt In’ at any time during the tender process if you initially decided to ‘Opt Out’. Further Guidance In addition, guidance on how to participate in a tender, download and upload documents / returns and if required, register your company (free of charge) can be found on the In-tend site under the ‘Help’ or ‘Information for Suppliers’ buttons. Receiving Notification Emails To ensure you receive email alerts and notifications from our system, please add the email domain `@in-tendorganiser.co.uk`  to your Safe Senders list.",45260000,Roof works and other special trade construction works,44.8792,44110000,Construction materials,29.0593,45210000,Building construction work,11.097,45450000,Other building completion work,3.2598,71310000,Consultative engineering and construction services,2.3033,https://in-tendhost.co.uk/sesharedservices/aspx/ProjectManage/36692
ocds-0c46vo-0020-sesharedservices_36658,2023-10-27 12:19:50+00,,2023-11-22 00:00:00+00,UNITED KINGDOM,ARUN DISTRICT COUNCIL,Provision of a Modular Changing Places Facility for Arun District Council,"Arun District Council invites applications from suitably experienced organisations who wish to be considered for selection to tender for the Provision of a Modular Changing Places Facility. The Contract will commence on 18th December 2023 with a works completion date of 15th March 2024 & contract completion date of 31st March 2025Interested parties should register their interest in the project via the In-Tend website https://in-tendhost.co.uk/sesharedservices/aspx/Home, and complete and submit the tender return document together with any supporting information requested by 14.00 hrs on Wednesday 22rd November 2023.  How to obtain the Tender DocumentsThe Tender documents can be accessed when logged into In-Tend by selecting ‘View Details’ on the relevant tender advert and clicking the ‘Express Interest’ tab. Once in the tender there are five tabs – ‘Tender’, ‘ITT – documents’, ‘Correspondence’, ‘Clarifications’ and ‘History’. Select the 2nd tab (ITT - documents) where you will find useful information under ‘Tender Details’ continue to scroll down to the heading ‘Tender Documents Received’ where you will be able to view / download the documents.Please download all the documents and read very carefully.Opting In and Opting OutPlease note you are required to ‘Opt In’ before you can access the ‘My tender Return’ to start populating your response. The ‘Opt Out’ functionality will also be available throughout the duration of the tender process. Opting out will give you the option of declaring you no longer want to receive any further communication in relation to this tender along with the opportunity of providing comments and feedback for this decision.You can choose to ‘Opt In’ at any time during the tender process if you initially decided to ‘Opt Out’.Receiving Notification EmailsTo ensure you receive email alerts and notifications from our system, please add the email domain '@in-tendorganiser.co.uk'  to your Safe Senders list.",44210000,Structures and parts of structures,27.7297,45210000,Building construction work,24.0649,44110000,Construction materials,8.1582,45220000,Engineering works and construction works,4.3647,45260000,Roof works and other special trade construction works,4.148,https://in-tendhost.co.uk/sesharedservices/aspx/ProjectManage/36658
ocds-0c46vo-0020-sesharedservices_37015,2023-12-07 22:21:57+00,,2023-12-11 00:00:00+00,UNITED KINGDOM,ARUN DISTRICT COUNCIL,ADC - St Andrews Roofing Project,"The work involves the removal of existing roof coverings including felt and batten and providing new roof coverings. Where required, the existing roof structure is to be repaired.The Council`s full requirements and details of how to tender for this opportunity are available by clicking the Express Interest button. The deadline for tender submission is 2pm on Monday 11th December 2023How to obtain the Tender Documents Interested parties should register their interest in the project via the In-Tend website https://in-tendhost.co.uk/sesharedservices/aspx/Tenders/Current. The Tender documents can be accessed when logged into In-Tend by selecting ‘View Details’ on the relevant tender advert and clicking the ‘Express Interest’ tab. Once in the tender there are five tabs, namely ‘Tender’, ‘ITT – documents’, ‘Correspondence’, ‘Clarifications’ and ‘History’. Select the 2nd tab (ITT - documents) where you will find useful information under ‘Tender Details’. Continue to scroll down to the heading ‘Tender Documents Received’ where you will be able to view / download the documents. Please download all the documents and read very carefully. Opting In and Opting Out Please note you are required to ‘Opt In’ before you can access the ‘My tender Return’ to start populating your response. The ‘Opt Out’ functionality will also be available throughout the duration of the tender process. Opting out will give you the option of declaring you no longer want to receive any further communication in relation to this tender along with the opportunity of providing comments and feedback for this decision. You can choose to ‘Opt In’ at any time during the tender process if you initially decided to ‘Opt Out’. Further Guidance In addition, guidance on how to participate in a tender, download and upload documents / returns and if required, register your company (free of charge) can be found on the In-tend site under the ‘Help’ or ‘Information for Suppliers’ buttons. Receiving Notification Emails To ensure you receive email alerts and notifications from our system, please add the email domain `@in-tendorganiser.co.uk`  to your Safe Senders list.",45260000,Roof works and other special trade construction works,51.9111,44110000,Construction materials,25.269,45210000,Building construction work,12.5733,45450000,Other building completion work,2.7112,45320000,Insulation work,1.6786,https://in-tendhost.co.uk/sesharedservices/aspx/ProjectManage/37015
ocds-0c46vo-0020-greensquare_353,2023-08-10 22:10:25+00,,2023-09-04 00:00:00+00,UNITED KINGDOM,ASBESTOS,Asbestos Removal Services,Interested parties may Express Interest in this opportunity via the GreenSquareAccord In-tend supplier portal (https://in-tendhost.co.uk/greensquare) upon which you will receive electronic documentation.  Please be aware that once registered on the GreenSquareAccord supplier portal you will be required to upload various mandatory documents before you can submit your tender submission and in addition to the tender documents. Please allow plenty of time to complete the mandatory document(s) upload before the tender return deadline.Expressions of Interest open to 10/08/2023 Clarifications or requests open to 29/08/2023 by 17:00 hoursTender submission deadline (fixed) 04/09/2023 by 17:00 hours,90650000,Asbestos removal services,42.8183,45260000,Roof works and other special trade construction works,28.542,90720000,Environmental protection,3.3598,71310000,Consultative engineering and construction services,3.1337,45110000,Building demolition and wrecking work and earthmoving work,3.0556,https://in-tendhost.co.uk/greensquare/aspx/ProjectManage/353
ocds-0c46vo-0020-greensquare_351,2023-08-22 22:19:58+00,,2023-09-22 00:00:00+00,UNITED KINGDOM,ASSET MANAGEMENT,"Refurbishment and Renewal of 3 Communal Lifts - Deens Court Hereford, Holton House Corsham, and Glovers Court Malmesbury","The works at each location / site will include the removal of the existing lift equipment and replacement with new Machine Room Less Traction lift equipment,  The lift shaft will be painted to seal walls and lighting upgraded as required. There will also be a requirement to reduce shaft ventilation and carry out some remedial repairs to the lift shaft walls.",42410000,Lifting and handling equipment,43.161,50750000,Lift-maintenance services,21.8252,45310000,Electrical installation work,20.5012,45450000,Other building completion work,5.3396,45210000,Building construction work,1.4373,https://in-tendhost.co.uk/greensquare/aspx/ProjectManage/351
ocds-0c46vo-0020-greensquare_355,2023-09-05 22:35:16+00,,2023-10-05 00:00:00+00,UNITED KINGDOM,ASSET MANAGEMENT,38 Ben grazebrooks retaining walls GL5 1DL,Retaining walls to rear garden.,45210000,Building construction work,26.7153,45260000,Roof works and other special trade construction works,23.7426,44110000,Construction materials,12.3645,44210000,Structures and parts of structures,8.6857,45220000,Engineering works and construction works,4.4671,https://in-tendhost.co.uk/greensquare/aspx/ProjectManage/355
ocds-0c46vo-0020-greensquare_363,2023-12-07 22:20:02+00,,2023-12-20 00:00:00+00,UNITED KINGDOM,ASSETS,St James Dauntsey - Gutter replacements,"Remove existing Finlock gutters, alter as necessary to install new fascia complete with new PVC rainwater goods.A - To no 3 St James, Dauntsey onlyB - To 3, 6  & 10 St James, DauntseyC - To Block 1 - 4 & 6 - 10 St James, Dauntsey",45260000,Roof works and other special trade construction works,55.2186,44110000,Construction materials,19.9011,45210000,Building construction work,11.8269,45450000,Other building completion work,3.946,45320000,Insulation work,2.3478,https://in-tendhost.co.uk/greensquare/aspx/ProjectManage/363
ocds-0c46vo-0020-abp_476,2024-01-05 22:19:59+00,,2024-02-06 00:00:00+00,UNITED KINGDOM,ASSOCIATED BRITISH PORTS,"SUPPLY OF GULLY, DRAIN AND  INTERCEPTOR CLEARING AND EMPTYING SERVICES ACROSS THE HUMBER PORTS","Dear SupplierYou have been invited to tender for the provision of Gully, Drain and Interceptor Clearing and Emptying Services across the Humber portsTender documents have been made available and can be accessed with the stage tab ""ITT - Documents"". From there you can review the documentation supplied and upload your response as indicated. Any questions relating to this tender should be made via correspondence on the website and can be addressed to the main contact as shown in the details above.",90640000,Gully cleaning and emptying services,48.2441,90470000,Sewer cleaning services,16.4192,90910000,Cleaning services,4.2618,90510000,Refuse disposal and treatment,4.2124,90460000,Cesspool or septic tank emptying services,4.1104,https://in-tendhost.co.uk/abp/aspx/ProjectManage/476
ocds-0c46vo-0020-abp_427,2023-08-14 23:07:04+00,,2023-09-15 00:00:00+00,UNITED KINGDOM,ASSOCIATED BRITISH PORTS,Newport On Dock Haulage,"Dear SupplierYou have been invited to tender for the provision of the On Dock Haulage requirements for the Port of NewportTender documents have been made available and can be accessed with the stage tab ""ITT - Documents"". From there you can review the documentation supplied and upload your response as indicated. Any questions relating to this tender should be made via correspondence on the website and can be addressed to the main contact as shown in the details above.Should you require a site visit, please contact Craig Christoforato, Planning and Operations Excellence Manager Email: cchristoforato@abports.co.ukMobile: 07931 538865",63110000,Cargo handling services,22.4508,63720000,Support services for water transport,12.5457,90510000,Refuse disposal and treatment,9.669,60610000,Ferry transport services,7.7034,60180000,Hire of goods-transport vehicles with driver,6.7399,https://in-tendhost.co.uk/abp/aspx/ProjectManage/427
ocds-0c46vo-0020-abp_448,2023-10-27 12:20:11+00,,2023-11-17 00:00:00+00,UNITED KINGDOM,ASSOCIATED BRITISH PORTS,Paper Pulp Handling Services - Port of Barrow,"Dear SupplierYou are invited to tender for the provision of Paper Pulp Handling Services at the Port of BarrowTender documents have been made available and can be accessed with the stage tab ""ITT - Documents"". From there you can review the documentation supplied and upload your response as indicated.Should you wish to make a site visit to look at the operation, please contact Mr Chris Clouter, Assistant Port Manager & PFSO at the Port of BarrowTel: 01229 822911 Mob: 07798 848919 Email: cclouter@abports.co.uk Any questions relating to this tender should be made via correspondence on the website and can be addressed to the main contact as shown in the details above.",90510000,Refuse disposal and treatment,46.4568,63720000,Support services for water transport,4.5949,44610000,"Tanks, reservoirs, containers and pressure vessels",3.5703,63120000,Storage and warehousing services,2.863,63110000,Cargo handling services,2.6463,https://in-tendhost.co.uk/abp/aspx/ProjectManage/448
